date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:24:42	144322/144322	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22619e1349-233c2%22	https://cobwebmaroon6.wpcomstaging.com/wp-content/plugins/give/assets/dist/fonts/fa-regular-400.svg	C:/Users/alex/ROVER/cobweb-arch/cobwebmaroon6.wpcomstaging.com/wp-content/plugins/give/assets/dist/fonts/fa-regular-400.svg	(from https://cobwebmaroon6.wpcomstaging.com/_static/??-eJyVjkEOgzAMBD/U1LRIKByqvsUKFjIQJ60dEL+Hll574DZa7ax2yS4kMRKDPJWeRaHnmQBVyRQ6VoOgR3jd4bKcEFyXBI2TOC0x4ns9v6D0KonRGcU8of39MJBlDONX/PGn+oyPW1N73zb3ym8JH1jb)
20:24:42	194078/194078	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%22619e1349-2f61e%22	https://cobwebmaroon6.wpcomstaging.com/wp-content/plugins/give/assets/dist/fonts/fa-solid-900.eot	C:/Users/alex/ROVER/cobweb-arch/cobwebmaroon6.wpcomstaging.com/wp-content/plugins/give/assets/dist/fonts/fa-solid-900.eot	(from https://cobwebmaroon6.wpcomstaging.com/_static/??-eJyVjkEOgzAMBD/U1LRIKByqvsUKFjIQJ60dEL+Hll574DZa7ax2yS4kMRKDPJWeRaHnmQBVyRQ6VoOgR3jd4bKcEFyXBI2TOC0x4ns9v6D0KonRGcU8of39MJBlDONX/PGn+oyPW1N73zb3ym8JH1jb)
20:24:43	194078/194078	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%22619e1349-2f61e%22	https://cobwebmaroon6.wpcomstaging.com/wp-content/plugins/give/assets/dist/fonts/fa-solid-900.eot?	C:/Users/alex/ROVER/cobweb-arch/cobwebmaroon6.wpcomstaging.com/wp-content/plugins/give/assets/dist/fonts/fa-solid-900d41d.eot	(from https://cobwebmaroon6.wpcomstaging.com/_static/??-eJyVjkEOgzAMBD/U1LRIKByqvsUKFjIQJ60dEL+Hll574DZa7ax2yS4kMRKDPJWeRaHnmQBVyRQ6VoOgR3jd4bKcEFyXBI2TOC0x4ns9v6D0KonRGcU8of39MJBlDONX/PGn+oyPW1N73zb3ym8JH1jb)
20:24:43	76120/76120	---M--	200	added ('OK')	application/font-woff2	etag:%22619e1349-12958%22	https://cobwebmaroon6.wpcomstaging.com/wp-content/plugins/give/assets/dist/fonts/fa-solid-900.woff2	C:/Users/alex/ROVER/cobweb-arch/cobwebmaroon6.wpcomstaging.com/wp-content/plugins/give/assets/dist/fonts/fa-solid-900.woff2	(from https://cobwebmaroon6.wpcomstaging.com/_static/??-eJyVjkEOgzAMBD/U1LRIKByqvsUKFjIQJ60dEL+Hll574DZa7ax2yS4kMRKDPJWeRaHnmQBVyRQ6VoOgR3jd4bKcEFyXBI2TOC0x4ns9v6D0KonRGcU8of39MJBlDONX/PGn+oyPW1N73zb3ym8JH1jb)
20:24:43	99004/99004	---M--	200	added ('OK')	application/font-woff	etag:%22619e1349-182bc%22	https://cobwebmaroon6.wpcomstaging.com/wp-content/plugins/give/assets/dist/fonts/fa-solid-900.woff	C:/Users/alex/ROVER/cobweb-arch/cobwebmaroon6.wpcomstaging.com/wp-content/plugins/give/assets/dist/fonts/fa-solid-900.woff	(from https://cobwebmaroon6.wpcomstaging.com/_static/??-eJyVjkEOgzAMBD/U1LRIKByqvsUKFjIQJ60dEL+Hll574DZa7ax2yS4kMRKDPJWeRaHnmQBVyRQ6VoOgR3jd4bKcEFyXBI2TOC0x4ns9v6D0KonRGcU8of39MJBlDONX/PGn+oyPW1N73zb3ym8JH1jb)
20:24:43	193792/193792	---MCZ	200	added ('OK')	application/font-ttf	etag:W/%22619e1349-2f500%22	https://cobwebmaroon6.wpcomstaging.com/wp-content/plugins/give/assets/dist/fonts/fa-solid-900.ttf	C:/Users/alex/ROVER/cobweb-arch/cobwebmaroon6.wpcomstaging.com/wp-content/plugins/give/assets/dist/fonts/fa-solid-900.ttf	(from https://cobwebmaroon6.wpcomstaging.com/_static/??-eJyVjkEOgzAMBD/U1LRIKByqvsUKFjIQJ60dEL+Hll574DZa7ax2yS4kMRKDPJWeRaHnmQBVyRQ6VoOgR3jd4bKcEFyXBI2TOC0x4ns9v6D0KonRGcU8of39MJBlDONX/PGn+oyPW1N73zb3ym8JH1jb)
20:24:43	849240/849240	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22619e1349-cf558%22	https://cobwebmaroon6.wpcomstaging.com/wp-content/plugins/give/assets/dist/fonts/fa-solid-900.svg	C:/Users/alex/ROVER/cobweb-arch/cobwebmaroon6.wpcomstaging.com/wp-content/plugins/give/assets/dist/fonts/fa-solid-900.svg	(from https://cobwebmaroon6.wpcomstaging.com/_static/??-eJyVjkEOgzAMBD/U1LRIKByqvsUKFjIQJ60dEL+Hll574DZa7ax2yS4kMRKDPJWeRaHnmQBVyRQ6VoOgR3jd4bKcEFyXBI2TOC0x4ns9v6D0KonRGcU8of39MJBlDONX/PGn+oyPW1N73zb3ym8JH1jb)
20:24:44	133034/133034	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%22619e1349-207aa%22	https://cobwebmaroon6.wpcomstaging.com/wp-content/plugins/give/assets/dist/fonts/fa-brands-400.eot	C:/Users/alex/ROVER/cobweb-arch/cobwebmaroon6.wpcomstaging.com/wp-content/plugins/give/assets/dist/fonts/fa-brands-400.eot	(from https://cobwebmaroon6.wpcomstaging.com/_static/??-eJyVjkEOgzAMBD/U1LRIKByqvsUKFjIQJ60dEL+Hll574DZa7ax2yS4kMRKDPJWeRaHnmQBVyRQ6VoOgR3jd4bKcEFyXBI2TOC0x4ns9v6D0KonRGcU8of39MJBlDONX/PGn+oyPW1N73zb3ym8JH1jb)
20:24:44	133034/133034	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%22619e1349-207aa%22	https://cobwebmaroon6.wpcomstaging.com/wp-content/plugins/give/assets/dist/fonts/fa-brands-400.eot?	C:/Users/alex/ROVER/cobweb-arch/cobwebmaroon6.wpcomstaging.com/wp-content/plugins/give/assets/dist/fonts/fa-brands-400d41d.eot	(from https://cobwebmaroon6.wpcomstaging.com/_static/??-eJyVjkEOgzAMBD/U1LRIKByqvsUKFjIQJ60dEL+Hll574DZa7ax2yS4kMRKDPJWeRaHnmQBVyRQ6VoOgR3jd4bKcEFyXBI2TOC0x4ns9v6D0KonRGcU8of39MJBlDONX/PGn+oyPW1N73zb3ym8JH1jb)
20:24:44	76548/76548	---M--	200	added ('OK')	application/font-woff2	etag:%22619e1349-12b04%22	https://cobwebmaroon6.wpcomstaging.com/wp-content/plugins/give/assets/dist/fonts/fa-brands-400.woff2	C:/Users/alex/ROVER/cobweb-arch/cobwebmaroon6.wpcomstaging.com/wp-content/plugins/give/assets/dist/fonts/fa-brands-400.woff2	(from https://cobwebmaroon6.wpcomstaging.com/_static/??-eJyVjkEOgzAMBD/U1LRIKByqvsUKFjIQJ60dEL+Hll574DZa7ax2yS4kMRKDPJWeRaHnmQBVyRQ6VoOgR3jd4bKcEFyXBI2TOC0x4ns9v6D0KonRGcU8of39MJBlDONX/PGn+oyPW1N73zb3ym8JH1jb)
20:24:44	89824/89824	---M--	200	added ('OK')	application/font-woff	etag:%22619e1349-15ee0%22	https://cobwebmaroon6.wpcomstaging.com/wp-content/plugins/give/assets/dist/fonts/fa-brands-400.woff	C:/Users/alex/ROVER/cobweb-arch/cobwebmaroon6.wpcomstaging.com/wp-content/plugins/give/assets/dist/fonts/fa-brands-400.woff	(from https://cobwebmaroon6.wpcomstaging.com/_static/??-eJyVjkEOgzAMBD/U1LRIKByqvsUKFjIQJ60dEL+Hll574DZa7ax2yS4kMRKDPJWeRaHnmQBVyRQ6VoOgR3jd4bKcEFyXBI2TOC0x4ns9v6D0KonRGcU8of39MJBlDONX/PGn+oyPW1N73zb3ym8JH1jb)
20:24:44	132728/132728	---MCZ	200	added ('OK')	application/font-ttf	etag:W/%22619e1349-20678%22	https://cobwebmaroon6.wpcomstaging.com/wp-content/plugins/give/assets/dist/fonts/fa-brands-400.ttf	C:/Users/alex/ROVER/cobweb-arch/cobwebmaroon6.wpcomstaging.com/wp-content/plugins/give/assets/dist/fonts/fa-brands-400.ttf	(from https://cobwebmaroon6.wpcomstaging.com/_static/??-eJyVjkEOgzAMBD/U1LRIKByqvsUKFjIQJ60dEL+Hll574DZa7ax2yS4kMRKDPJWeRaHnmQBVyRQ6VoOgR3jd4bKcEFyXBI2TOC0x4ns9v6D0KonRGcU8of39MJBlDONX/PGn+oyPW1N73zb3ym8JH1jb)
20:24:45	715890/715890	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22619e1349-aec72%22	https://cobwebmaroon6.wpcomstaging.com/wp-content/plugins/give/assets/dist/fonts/fa-brands-400.svg	C:/Users/alex/ROVER/cobweb-arch/cobwebmaroon6.wpcomstaging.com/wp-content/plugins/give/assets/dist/fonts/fa-brands-400.svg	(from https://cobwebmaroon6.wpcomstaging.com/_static/??-eJyVjkEOgzAMBD/U1LRIKByqvsUKFjIQJ60dEL+Hll574DZa7ax2yS4kMRKDPJWeRaHnmQBVyRQ6VoOgR3jd4bKcEFyXBI2TOC0x4ns9v6D0KonRGcU8of39MJBlDONX/PGn+oyPW1N73zb3ym8JH1jb)
20:24:45	26126/26126	---M--	200	added ('OK')	image/jpeg	etag:%2261a97612-660e%22	https://cobwebmaroon6.wpcomstaging.com/wp-content/uploads/ultimatemember/211973259/profile_photo.jpeg?1638908660	C:/Users/alex/ROVER/cobweb-arch/cobwebmaroon6.wpcomstaging.com/wp-content/uploads/ultimatemember/211973259/profile_photo4f47.jpg	(from https://cobwebmaroon6.wpcomstaging.com/forums/)
20:24:46	4360/4360	---MCZ	200	added ('OK')	application/rss+xml	date:Wed,%2008%20Dec%202021%2001:24:46%20GMT	https://cobwebmaroon6.wpcomstaging.com/forums/feed/	C:/Users/alex/ROVER/cobweb-arch/cobwebmaroon6.wpcomstaging.com/forums/feed/index.html	(from https://cobwebmaroon6.wpcomstaging.com/forums/)
20:24:47	2322/2322	---MCZ	200	added ('OK')	application/json	date:Wed,%2008%20Dec%202021%2001:24:46%20GMT	https://cobwebmaroon6.wpcomstaging.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fcobwebmaroon6.wpcomstaging.com%2Fforums%2Ftopic%2Fcareer-goals%2F	C:/Users/alex/ROVER/cobweb-arch/cobwebmaroon6.wpcomstaging.com/wp-json/oembed/1.0/embed7aa5.json	(from https://cobwebmaroon6.wpcomstaging.com/forums/topic/career-goals/)
20:24:47	47524/47524	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Dec%202021%2001:24:47%20GMT	https://cobwebmaroon6.wpcomstaging.com/forums/users/brooklynmentor/replies/	C:/Users/alex/ROVER/cobweb-arch/cobwebmaroon6.wpcomstaging.com/forums/users/brooklynmentor/replies/index.html	(from https://cobwebmaroon6.wpcomstaging.com/forums/users/brooklynmentor/)
20:24:47	51628/51628	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Dec%202021%2001:24:47%20GMT	https://cobwebmaroon6.wpcomstaging.com/forums/users/brooklynmentor/topics/	C:/Users/alex/ROVER/cobweb-arch/cobwebmaroon6.wpcomstaging.com/forums/users/brooklynmentor/topics/index.html	(from https://cobwebmaroon6.wpcomstaging.com/forums/users/brooklynmentor/)
20:24:47	51616/51616	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Dec%202021%2001:24:47%20GMT	https://cobwebmaroon6.wpcomstaging.com/forums/users/brooklynmentor/engagements/	C:/Users/alex/ROVER/cobweb-arch/cobwebmaroon6.wpcomstaging.com/forums/users/brooklynmentor/engagements/index.html	(from https://cobwebmaroon6.wpcomstaging.com/forums/users/brooklynmentor/)
